text,pagenum,doc_name
"UK Business Banking serves business clients, from high growth start-ups to small and medium-sized enterprises, with specialist advice for their business banking needs.",5,with-highlights-comments-barclays-country-snapshot-2021pdf
"Barclaycard Consumer UK is a leading credit card provider, offering flexible borrowing and payment solutions, while delivering a leading customer experience. Barclays International Barclays International consists of our Corporate and Investment Bank and Consumer, Cards and Payments businesses. These businesses operate within our non ring-fenced bank (Barclays Bank PLC) and its subsidiaries, and certain other entities within the Group.",5,with-highlights-comments-barclays-country-snapshot-2021pdf
"Barclays Corporate and Investment Bank is comprised of the Investment Banking, Corporate Banking and Global Markets businesses, aiding money managers, financial institutions, governments, supranational",5,with-highlights-comments-barclays-country-snapshot-2021pdf
3,5,with-highlights-comments-barclays-country-snapshot-2021pdf
Barclays PLC home.barclays/annualreport,5,with-highlights-comments-barclays-country-snapshot-2021pdf
"organisations and corporate clients to manage their funding, financing, strategic and risk management needs.",5,with-highlights-comments-barclays-country-snapshot-2021pdf
"The Consumer, Cards and Payments division of Barclays International is comprised of our International Cards and Consumer Bank, Private Bank and Unified Payments businesses.",5,with-highlights-comments-barclays-country-snapshot-2021pdf
"As part of our International Cards and Consumer Bank, in the US we have a partnership-focused business model, offering credit cards to consumers through our relationships. We also offer online retail savings products, instalment payments and personal loans.",5,with-highlights-comments-barclays-country-snapshot-2021pdf
"In Germany, we offer multiple consumer products including own-branded and co-branded credit cards, online loans, electronic Point of Sale (ePOS) financing and deposits.",5,with-highlights-comments-barclays-country-snapshot-2021pdf
Unified Payments enables businesses of all sizes to make and receive payments.,5,with-highlights-comments-barclays-country-snapshot-2021pdf
"Our Private Bank offers banking, credit and investment capabilities to meet the needs of our clients across the UK, Europe, the Middle East and Africa, and Asia.",5,with-highlights-comments-barclays-country-snapshot-2021pdf
"Barclays Execution Services Barclays Execution Services is the Group-wide service company providing technology, operations and functional services to businesses across the Group.",5,with-highlights-comments-barclays-country-snapshot-2021pdf
Barclays UK,5,with-highlights-comments-barclays-country-snapshot-2021pdf
UK retail and business banking,5,with-highlights-comments-barclays-country-snapshot-2021pdf
Approach to tax,5,with-highlights-comments-barclays-country-snapshot-2021pdf
Barclays International,5,with-highlights-comments-barclays-country-snapshot-2021pdf
"Consumer, Cards and Payments",5,with-highlights-comments-barclays-country-snapshot-2021pdf
Barclays Execution Services,5,with-highlights-comments-barclays-country-snapshot-2021pdf
Country by country data,5,with-highlights-comments-barclays-country-snapshot-2021pdf
Corporate and Investment Bank,5,with-highlights-comments-barclays-country-snapshot-2021pdf
Barclays PLC Country Snapshot 2021,5,with-highlights-comments-barclays-country-snapshot-2021pdf
OverviewWe contribute in many ways to the countries in which we operate in addition to our tax contribution.,6,with-highlights-comments-barclays-country-snapshot-2021pdf
4,6,with-highlights-comments-barclays-country-snapshot-2021pdf
Overview,6,with-highlights-comments-barclays-country-snapshot-2021pdf
Our wider contribution,6,with-highlights-comments-barclays-country-snapshot-2021pdf
"This report concentrates on our tax contribution which is just one element of our overall contribution. Here we look at some of the other ways in which we contribute including our efforts to support our customers and clients, and our communities through the COVID-19 pandemic. Economy We continue to be a major investor, employer and purchaser of goods and services. In addition, we generate economic activity by supporting individuals and businesses from small and medium-sized enterprises to larger corporates.",6,with-highlights-comments-barclays-country-snapshot-2021pdf
"Employment We generate and support employment across all of the countries in which we operate. Globally, Barclays employed an average of 82,915 full-time employees during 2021.",6,with-highlights-comments-barclays-country-snapshot-2021pdf
Tax contribution,6,with-highlights-comments-barclays-country-snapshot-2021pdf
"Programmes that make a difference Our £100m COVID-19 Community Aid Package has been delivering vital relief to vulnerable communities throughout the COVID-19 pandemic. We have supported more than 370 charity partners around the world who are getting support to where it’s needed most. Since April 2020, we have matched £8.1m raised and donated by colleagues for COVID-19 relief efforts - which has meant a total of more than £16.2m for 2,000 charities around the world.",6,with-highlights-comments-barclays-country-snapshot-2021pdf
"Through our LifeSkills programme, we have a target to help a further 10 million people to develop the skills and confidence they need to succeed, as well as place 250,000 people into work by the end of 2022. Against this target, the programme has upskilled 9.8 million people and placed 193,400 into work. Since LifeSkills first began in 2013, it has reached 15.3 million people.",6,with-highlights-comments-barclays-country-snapshot-2021pdf
"Through the Unreasonable Impact programme, we aim to support 250 entrepreneurs by 2022, whose ventures have the potential to create jobs of the future while solving the world’s most pressing challenges. In 2021, Barclays and Unreasonable celebrated five years of partnership, with Unreasonable Impact now reaching 216 companies who collectively support thousands of jobs across the world.",6,with-highlights-comments-barclays-country-snapshot-2021pdf
More information on these commitments can be found at home.barclays/annualreport,6,with-highlights-comments-barclays-country-snapshot-2021pdf
Approach to tax,6,with-highlights-comments-barclays-country-snapshot-2021pdf
"Environment In March 2020, we announced our ambition to be a net zero bank by 2050, becoming one of the first banks to do so.",6,with-highlights-comments-barclays-country-snapshot-2021pdf
We have a strategy to turn that ambition into action:,6,with-highlights-comments-barclays-country-snapshot-2021pdf
"1. Achieving net zero operations Barclays is working to achieve net zero operations and supply chain emissions, investing in the continued decarbonisation of our operations and in the development of a net zero pathway for the emissions from our supply chain.",6,with-highlights-comments-barclays-country-snapshot-2021pdf
2. Reducing our financed emissions Barclays is committed to aligning its financing activities with the goals and timelines of the Paris Agreement.,6,with-highlights-comments-barclays-country-snapshot-2021pdf
3. Financing the transition Barclays is providing the green and sustainable finance required to transform the economies we serve.,6,with-highlights-comments-barclays-country-snapshot-2021pdf
More information on our strategy and our ESG disclosures can be found at home.barclays/annualreport,6,with-highlights-comments-barclays-country-snapshot-2021pdf
Barclays PLC home.barclays/annualreport,6,with-highlights-comments-barclays-country-snapshot-2021pdf
Country by country data,6,with-highlights-comments-barclays-country-snapshot-2021pdf
Barclays PLC Country Snapshot 2021,6,with-highlights-comments-barclays-country-snapshot-2021pdf
Tax contribution Our global tax contribution includes both taxes paid and taxes collected.,7,with-highlights-comments-barclays-country-snapshot-2021pdf
Our global tax contribution,7,with-highlights-comments-barclays-country-snapshot-2021pdf
"Our total tax contribution for 2021 was £5,792m.",7,with-highlights-comments-barclays-country-snapshot-2021pdf
"This includes taxes paid of £2,781m, which represent a cost to us, and taxes collected on behalf of governments of £3,011m.",7,with-highlights-comments-barclays-country-snapshot-2021pdf
5,7,with-highlights-comments-barclays-country-snapshot-2021pdf
Overview,7,with-highlights-comments-barclays-country-snapshot-2021pdf
Tax contribution,7,with-highlights-comments-barclays-country-snapshot-2021pdf
Approach to tax,7,with-highlights-comments-barclays-country-snapshot-2021pdf
Total tax contribution,7,with-highlights-comments-barclays-country-snapshot-2021pdf
"£5,792m Taxes paid globally",7,with-highlights-comments-barclays-country-snapshot-2021pdf
"£ 2,781m 72 1,335 241",7,with-highlights-comments-barclays-country-snapshot-2021pdf
Taxes paid Taxes paid are those that represent a cost to us.,7,with-highlights-comments-barclays-country-snapshot-2021pdf
Barclays PLC home.barclays/annualreport,7,with-highlights-comments-barclays-country-snapshot-2021pdf
2021 526 607,7,with-highlights-comments-barclays-country-snapshot-2021pdf
"This amount includes: ■ Corporation tax, including UK banking profits surcharge ■ Withholding taxes ■ Employer payroll taxes ■ Irrecoverable VAT",7,with-highlights-comments-barclays-country-snapshot-2021pdf
Corporation tax and withholding taxes Employer payroll taxes Irrecoverable VAT Bank levy Other taxes,7,with-highlights-comments-barclays-country-snapshot-2021pdf
■ Bank levy ■ Other taxes including business rates and other property taxes,7,with-highlights-comments-barclays-country-snapshot-2021pdf
Country by country data,7,with-highlights-comments-barclays-country-snapshot-2021pdf
Taxes collected globally,7,with-highlights-comments-barclays-country-snapshot-2021pdf
"£ 3,011m 8944 2,144 159",7,with-highlights-comments-barclays-country-snapshot-2021pdf
Taxes collected Taxes collected are those that we administer on behalf of governments and collect from others as we do business.,7,with-highlights-comments-barclays-country-snapshot-2021pdf
Barclays PLC Country Snapshot 2021,7,with-highlights-comments-barclays-country-snapshot-2021pdf
2021 575,7,with-highlights-comments-barclays-country-snapshot-2021pdf
This amount includes: ■ Taxes collected on employee salaries ■ Taxes collected on customer and client dealings in shares and other financial products,7,with-highlights-comments-barclays-country-snapshot-2021pdf
Employee taxes Taxes on share dealing Net VAT collected Other taxes Tax deducted at source on interest,7,with-highlights-comments-barclays-country-snapshot-2021pdf
■ Tax deducted at source on interest and other payments ■ Net VAT collected (VAT charged on sales less recoverable VAT on purchases),7,with-highlights-comments-barclays-country-snapshot-2021pdf
Tax contribution Here we find a summary of how the main types of taxes paid and taxes collected arise in the course of our business.,8,with-highlights-comments-barclays-country-snapshot-2021pdf
The taxes we pay and collect as we do business,8,with-highlights-comments-barclays-country-snapshot-2021pdf
Overview,8,with-highlights-comments-barclays-country-snapshot-2021pdf
"Employer payroll taxes As a major employer, our staff costs include employer national insurance contributions in the UK and other social security contributions globally that we pay to tax authorities in addition to the remuneration we pay our employees.",8,with-highlights-comments-barclays-country-snapshot-2021pdf
"Irrecoverable VAT We pay VAT when we buy goods and services from our suppliers. Unlike most other businesses, banks can only claim back a proportion of the VAT that they incur, making this a significant cost to our business.",8,with-highlights-comments-barclays-country-snapshot-2021pdf
"Bank levy Bank levy is primarily paid to the UK Government based on the size of our balance sheet (historically our global consolidated balance sheet but, due to a law change, from 2021 our UK balance sheet). Other taxes We pay business rates on our offices and our network of high street branches in the UK. We also pay property taxes in the US and Canada.",8,with-highlights-comments-barclays-country-snapshot-2021pdf
"Corporation tax When our business generates profits, we pay corporation tax. Withholding taxes Withholding taxes are paid on some income we receive. We incur withholding tax principally on dividends received on shares we hold as part of the equities business that Barclays International undertakes with its clients. Where we are unable to credit that tax against our corporation tax, this is a cost to our business.",8,with-highlights-comments-barclays-country-snapshot-2021pdf
6,8,with-highlights-comments-barclays-country-snapshot-2021pdf
Barclays PLC home.barclays/annualreport,8,with-highlights-comments-barclays-country-snapshot-2021pdf
Taxes paid,8,with-highlights-comments-barclays-country-snapshot-2021pdf
Employer payroll taxes £607m,8,with-highlights-comments-barclays-country-snapshot-2021pdf
Irrecoverable VAT,8,with-highlights-comments-barclays-country-snapshot-2021pdf
£526m,8,with-highlights-comments-barclays-country-snapshot-2021pdf
Bank levy & other taxes £313m,8,with-highlights-comments-barclays-country-snapshot-2021pdf
"Corporation tax & withholding taxes £1,335m",8,with-highlights-comments-barclays-country-snapshot-2021pdf
Total taxes paid,8,with-highlights-comments-barclays-country-snapshot-2021pdf
"£2,781m",8,with-highlights-comments-barclays-country-snapshot-2021pdf
Tax contribution,8,with-highlights-comments-barclays-country-snapshot-2021pdf
Our employees,8,with-highlights-comments-barclays-country-snapshot-2021pdf
Our suppliers,8,with-highlights-comments-barclays-country-snapshot-2021pdf
Our customers and markets,8,with-highlights-comments-barclays-country-snapshot-2021pdf
Our shareholders,8,with-highlights-comments-barclays-country-snapshot-2021pdf
Total tax contribution,8,with-highlights-comments-barclays-country-snapshot-2021pdf
"£5,792m",8,with-highlights-comments-barclays-country-snapshot-2021pdf
Tax authorities,8,with-highlights-comments-barclays-country-snapshot-2021pdf
Approach to tax,8,with-highlights-comments-barclays-country-snapshot-2021pdf
Taxes collected,8,with-highlights-comments-barclays-country-snapshot-2021pdf
"Employee payroll taxes £2,144m",8,with-highlights-comments-barclays-country-snapshot-2021pdf
Net VAT collected & other taxes collected £867m,8,with-highlights-comments-barclays-country-snapshot-2021pdf
Total taxes collected,8,with-highlights-comments-barclays-country-snapshot-2021pdf
"£3,011m",8,with-highlights-comments-barclays-country-snapshot-2021pdf
Country by country data,8,with-highlights-comments-barclays-country-snapshot-2021pdf
"Employee payroll taxes We collect income tax payments and social security contributions (for example, income tax deducted under PAYE and employee national insurance contributions in the UK) from the remuneration we pay to our employees.",8,with-highlights-comments-barclays-country-snapshot-2021pdf
Net VAT collected We collect VAT and sales tax on some products and services that we offer to our customers and clients. The VAT and sales tax collected less the proportion of VAT that we can claim back is then remitted to the relevant taxation authority.,8,with-highlights-comments-barclays-country-snapshot-2021pdf
Other taxes collected We collect a number of other taxes such as stamp duty and financial transaction tax on customer and client dealings in shares and other financial products.,8,with-highlights-comments-barclays-country-snapshot-2021pdf
We also collect withholding taxes on some interest and other payments made to our customers and clients.,8,with-highlights-comments-barclays-country-snapshot-2021pdf
The remainder of this report focuses on taxes paid only.,8,with-highlights-comments-barclays-country-snapshot-2021pdf
Barclays PLC Country Snapshot 2021,8,with-highlights-comments-barclays-country-snapshot-2021pdf
"Tax contribution In 2021, our taxes paid globally were £2,781m. Here we look at where those taxes were paid.",9,with-highlights-comments-barclays-country-snapshot-2021pdf
Overview,9,with-highlights-comments-barclays-country-snapshot-2021pdf
Taxes paid by region,9,with-highlights-comments-barclays-country-snapshot-2021pdf
"■ In 2021, we paid £2,781m of tax globally, of which £1,211m was paid in the UK. This significant contribution to the UK economy reflects the fact that we are a UK-headquartered bank and that the UK is the main base of our global operations. ■ A large amount of the taxes we pay are specific to the UK banking sector. For example, we pay bank levy to the UK Government based on the value of the liabilities on our balance sheet. ■ An additional sector specific tax is the UK banking profits surcharge (an additional 8% tax on top of the standard UK corporation tax rate), which means that UK banks pay tax at 27% on banking profits compared to the standard UK corporation tax rate of 19%. ■ Over the last decade, Barclays has paid over £14bn of taxes in the UK.",9,with-highlights-comments-barclays-country-snapshot-2021pdf
7,9,with-highlights-comments-barclays-country-snapshot-2021pdf
Tax contribution,9,with-highlights-comments-barclays-country-snapshot-2021pdf
Total taxes paid by region in 2021,9,with-highlights-comments-barclays-country-snapshot-2021pdf
Barclays PLC home.barclays/annualreport,9,with-highlights-comments-barclays-country-snapshot-2021pdf
Approach to tax,9,with-highlights-comments-barclays-country-snapshot-2021pdf
"“ In 2021, we paid £2,781m of taxes globally, of which £1,211m was paid in the UK. Over the last decade, Barclays has paid over £14bn of taxes in the UK.",9,with-highlights-comments-barclays-country-snapshot-2021pdf
"£1,211m",9,with-highlights-comments-barclays-country-snapshot-2021pdf
UK,9,with-highlights-comments-barclays-country-snapshot-2021pdf
Country by country data,9,with-highlights-comments-barclays-country-snapshot-2021pdf
£944m,9,with-highlights-comments-barclays-country-snapshot-2021pdf
Americas,9,with-highlights-comments-barclays-country-snapshot-2021pdf
Barclays PLC Country Snapshot 2021,9,with-highlights-comments-barclays-country-snapshot-2021pdf
£492m,9,with-highlights-comments-barclays-country-snapshot-2021pdf
Rest of Europe,9,with-highlights-comments-barclays-country-snapshot-2021pdf
£134m,9,with-highlights-comments-barclays-country-snapshot-2021pdf
Rest of the world,9,with-highlights-comments-barclays-country-snapshot-2021pdf
Approach to tax Here we find the key elements of our approach to tax.,10,with-highlights-comments-barclays-country-snapshot-2021pdf
Our approach to tax,10,with-highlights-comments-barclays-country-snapshot-2021pdf
"Our Purpose is to deploy finance responsibly to support people and businesses, acting with empathy and integrity, championing innovation and sustainability, for the common good and the long term.",10,with-highlights-comments-barclays-country-snapshot-2021pdf
Our key objectives Our approach to tax has three core objectives: ■ Responsible approach to tax. ■ Effective interaction with tax authorities. ■ Transparency in relation to our tax affairs. Our approach to tax is built around ensuring we meet these objectives. We expand on the key elements of our approach on the following pages.,10,with-highlights-comments-barclays-country-snapshot-2021pdf
Overview,10,with-highlights-comments-barclays-country-snapshot-2021pdf
8,10,with-highlights-comments-barclays-country-snapshot-2021pdf
Tax contribution,10,with-highlights-comments-barclays-country-snapshot-2021pdf
Barclays PLC home.barclays/annualreport,10,with-highlights-comments-barclays-country-snapshot-2021pdf
Approach to tax,10,with-highlights-comments-barclays-country-snapshot-2021pdf
Barclays’ approach to tax,10,with-highlights-comments-barclays-country-snapshot-2021pdf
The key elements of Barclays’ approach:,10,with-highlights-comments-barclays-country-snapshot-2021pdf
"Our tax principles Our tax principles allow us to balance the needs of our stakeholders, including shareholders, customers, tax authorities and regulators, when making decisions.",10,with-highlights-comments-barclays-country-snapshot-2021pdf
"To learn more, go to page 9.",10,with-highlights-comments-barclays-country-snapshot-2021pdf
Our tax code of conduct and ‘no surprises’ approach We operate and interact with tax authorities in the right way and in a way that they would expect.,10,with-highlights-comments-barclays-country-snapshot-2021pdf
"To learn more, go to page 9.",10,with-highlights-comments-barclays-country-snapshot-2021pdf
Our governance and risk management Ultimate responsibility for tax risk resides with the Board and our governance requires that suitably qualified people are involved in decisions related to tax.,10,with-highlights-comments-barclays-country-snapshot-2021pdf
"To learn more, go to page 12.",10,with-highlights-comments-barclays-country-snapshot-2021pdf
"Our engagement We seek to clearly explain our tax position within our reports, filings and publications.",10,with-highlights-comments-barclays-country-snapshot-2021pdf
"To learn more, go to page 13.",10,with-highlights-comments-barclays-country-snapshot-2021pdf
Our role in global efforts to combat tax evasion Tax evasion is a criminal activity which involves deliberately concealing income or assets from tax authorities. Tax evasion is wrong and we actively invest in and support initiatives to combat tax evasion.,10,with-highlights-comments-barclays-country-snapshot-2021pdf
"To learn more, go to page 15.",10,with-highlights-comments-barclays-country-snapshot-2021pdf
Country by country data,10,with-highlights-comments-barclays-country-snapshot-2021pdf
The objectives that Barclays seeks to achieve:,10,with-highlights-comments-barclays-country-snapshot-2021pdf
"Responsible approach to tax Ensuring we manage our tax affairs in accordance with our tax principles and tax code of conduct, our returns are filed on time and the correct amount of tax is paid.",10,with-highlights-comments-barclays-country-snapshot-2021pdf
Barclays is committed to only dealing with customer or client assets that have been appropriately declared to the relevant tax authority.,10,with-highlights-comments-barclays-country-snapshot-2021pdf
Effective interaction with tax authorities Having a constructive and professional relationship with tax authorities is key to how we manage our tax affairs.,10,with-highlights-comments-barclays-country-snapshot-2021pdf
We actively support and work with tax authorities to combat tax evasion.,10,with-highlights-comments-barclays-country-snapshot-2021pdf
Transparency in relation to our tax affairs Being a leader in tax transparency by choosing to expand external publications such as the Country Snapshot and making clear disclosures to tax authorities.,10,with-highlights-comments-barclays-country-snapshot-2021pdf
Barclays PLC Country Snapshot 2021,10,with-highlights-comments-barclays-country-snapshot-2021pdf
Approach to tax Our tax principles and tax code of conduct are integral to our responsible approach to tax and our effective interaction with tax authorities.,11,with-highlights-comments-barclays-country-snapshot-2021pdf
Our tax principles and tax code of conduct,11,with-highlights-comments-barclays-country-snapshot-2021pdf
Overview,11,with-highlights-comments-barclays-country-snapshot-2021pdf
Our tax principles We have set out and published clear tax principles that govern our approach to tax planning. Our tax planning must:,11,with-highlights-comments-barclays-country-snapshot-2021pdf
"■ support genuine commercial activity ■ comply with generally accepted custom and practice, in addition to the law and the UK Code of Practice on Taxation for Banks ■ be of a type that the tax authorities would expect ■ only take place with customers and clients sophisticated enough to assess its risks ■ be consistent with, and be seen to be consistent with, our purpose and values.",11,with-highlights-comments-barclays-country-snapshot-2021pdf
Our tax principles are central to our approach to tax planning for ourselves or on behalf of our clients.,11,with-highlights-comments-barclays-country-snapshot-2021pdf
9,11,with-highlights-comments-barclays-country-snapshot-2021pdf
Barclays PLC home.barclays/annualreport,11,with-highlights-comments-barclays-country-snapshot-2021pdf
"Our tax code of conduct and ‘no surprises’ approach Our tax department comprises in-house professionals from a combination of tax, legal and accounting backgrounds. The majority of our tax team is based in London and New York. We also have tax professionals based in other key jurisdictions. Our tax professionals are subject to clear standards including that they uphold our tax principles and follow our tax code of conduct. The tax department works closely with the businesses and other functions such as Human Resources and Finance, ensuring that our approach to tax is consistently applied throughout the organisation.",11,with-highlights-comments-barclays-country-snapshot-2021pdf
Our tax code of conduct is an integral part of how we operate:,11,with-highlights-comments-barclays-country-snapshot-2021pdf
"■ all tax planning is subject to a robust review and approval process ■ our approach to taxation is clearly explained and publicly available, and our tax reporting is transparent and helpful to stakeholders ■ our dealings with tax authorities are handled proactively, constructively and transparently, recognising that early resolution of our tax affairs is in everyone’s interest, and we respond to feedback from tax authorities ■ any litigation necessary to resolve a difference of opinion will be handled in a way that is consistent with our values.",11,with-highlights-comments-barclays-country-snapshot-2021pdf
Tax contribution,11,with-highlights-comments-barclays-country-snapshot-2021pdf
Artwork,11,with-highlights-comments-barclays-country-snapshot-2021pdf
Approach to tax,11,with-highlights-comments-barclays-country-snapshot-2021pdf
